n,y,x,osmid,highway,ref,node_id
1,35.9203939,139.4964865,2297651205,,,1
2,35.9111654,139.4801053,410400273,traffic_signals,,2
8,35.9129409,139.4788967,410400274,,,3
10,35.9183961,139.4777763,410400276,traffic_signals,,4
37,35.9207901,139.4856735,2291171475,,,5
47,35.9142608,139.4895899,434438374,,,6
61,35.9259954,139.4931097,1347502324,,,7
70,35.9093974,139.4816635,434561347,,,8
74,35.910159,139.4810249,434561351,,,9
75,35.9106277,139.4805742,434561352,,,10
90,35.9142343,139.4806342,4071285103,,,11
95,35.9092829,139.4863667,404005328,traffic_signals,,12
96,35.9159624,139.4807341,404005332,traffic_signals,,13
97,35.9155617,139.4770601,7608287702,,,14
98,35.9154742,139.4824832,404005335,traffic_signals,,15
102,35.9181997,139.4808219,404005341,traffic_signals,,16
103,35.9189071,139.480825,404005344,,,17
106,35.9249554,139.4835279,6388605423,,,18
110,35.928874,139.4827592,404005380,,,19
115,35.9282043,139.4887463,404005423,,,20
116,35.9277289,139.4898911,404005431,,,21
117,35.9275635,139.4902513,404005436,,,22
122,35.9261772,139.4884115,404005464,,,23
125,35.9218823,139.4883954,404005499,,,24
126,35.9201313,139.4885218,404005503,,,25
127,35.9200891,139.4892361,404005504,,,26
150,35.9261016,139.4893658,2293146445,,,27
153,35.9263198,139.4904545,2293146452,,,28
154,35.9273976,139.4900229,2293146462,,,29
174,35.9153842,139.4805032,3476251544,,,30
176,35.9156908,139.4819235,2289197978,,,31
185,35.91427,139.4797284,410166195,,,32
195,35.9195662,139.4768938,412812294,,,33
196,35.9209712,139.4755299,412812286,traffic_signals,,34
197,35.9211149,139.4827291,412812287,traffic_signals,,35
198,35.9210955,139.4796639,412812288,traffic_signals,,36
201,35.919262,139.4786315,412812292,,,37
204,35.9193635,139.4780163,412812293,,,38
205,35.9194969,139.4827833,412812296,traffic_signals,,39
206,35.91966,139.4836562,412812297,,,40
207,35.9200803,139.4852748,412812298,,,41
210,35.9165707,139.483292,412812299,,,42
211,35.921118,139.4832925,412812304,,,43
214,35.9208048,139.4884375,412812308,,,44
220,35.9286899,139.4912589,412812366,traffic_signals,,45
221,35.9260513,139.4932488,412812369,traffic_signals,,46
225,35.9185561,139.4981196,2293204066,,,47
227,35.925741,139.4925478,412812389,,,48
228,35.9267707,139.4927245,412812390,,,49
229,35.9266194,139.4924969,412812394,,,50
230,35.9263745,139.492274,412812395,,,51
231,35.9265689,139.4924319,412812396,,,52
232,35.9154817,139.4831963,412812300,,,53
237,35.9272898,139.4833883,402932914,traffic_signals,,54
256,35.9272161,139.4894898,402933024,,,55
257,35.9272468,139.4884485,402933029,traffic_signals,,56
259,35.9158908,139.4813901,427222319,,,57
266,35.9135526,139.479223,427222333,,,58
270,35.9166186,139.4817358,427222341,,,59
271,35.9252871,139.4801226,402933066,traffic_signals,,60
277,35.9227702,139.475366,402933091,traffic_signals,,61
280,35.9211052,139.4772782,430024046,,,62
313,35.9129741,139.4804561,1334036066,,,63
314,35.9135788,139.4804869,1334036068,,,64
359,35.9204491,139.4834225,2292008685,,,65
379,35.9292669,139.4868581,601843540,,,66
382,35.9292025,139.4908621,601843550,,,67
383,35.9302057,139.4888676,601843546,,,68
402,35.9247651,139.4858161,7457212309,,,69
409,35.9231105,139.4946127,427182004,,,70
410,35.9214663,139.4957661,427182009,,,71
411,35.918738,139.4976441,427182014,,,72
415,35.9232082,139.4948395,427182026,,,73
434,35.9093585,139.4869178,402778182,,,74
436,35.908849,139.4832424,402778184,,,75
437,35.9086996,139.4822484,402778186,traffic_signals,,76
440,35.9254432,139.4887819,726927463,,,77
444,35.9181103,139.4820519,1035626769,,,78
458,35.9109753,139.4902119,453757365,,,79
464,35.9178579,139.4923518,453757378,,,80
466,35.9123119,139.4913433,453757376,,,81
470,35.9178595,139.4920675,426756615,,,82
473,35.9178928,139.4905201,426756618,,,83
508,35.9104934,139.4903175,2291952575,,,84
516,35.9255571,139.4859076,7457197091,,,85
523,35.9228952,139.4891137,243887177,,,86
529,35.9108192,139.4888756,440069206,,,87
535,35.9190281,139.4880937,440069212,,,88
538,35.9186783,139.4881174,440069214,,,89
541,35.917975,139.4876399,440069216,,,90
546,35.9201083,139.4903816,243887211,,,91
547,35.9186892,139.489428,243887213,,,92
549,35.9234264,139.4829112,243887217,traffic_signals,,93
550,35.9136806,139.4817728,243887219,,,94
562,35.9198695,139.4918893,402795777,,,95
563,35.9193203,139.4865371,402795794,traffic_signals,,96
564,35.9189598,139.4843873,402795802,,,97
565,35.9186838,139.4835509,402795805,traffic_signals,,98
570,35.9182169,139.4799026,774704452,,,99
595,35.9218338,139.4937611,1380978048,,,100
604,35.9146074,139.4774188,402812300,,,101
609,35.922477,139.4950611,1380978101,,,102
611,35.9292342,139.4888348,559746490,,,103
624,35.9233834,139.4919631,1380978187,,,104
634,35.9196044,139.4892555,426888804,traffic_signals,,105
644,35.9187182,139.4967613,426888819,,,106
645,35.9184091,139.4978744,426888822,,,107
647,35.9288447,139.4911343,426888827,,,108
656,35.9264112,139.4904383,426888865,,,109
657,35.9252358,139.490676,426888870,,,110
673,35.9182466,139.4791409,404737842,traffic_signals,,111
680,35.9199689,139.4808407,2292035443,,,112
682,35.920111,139.4795248,2292035451,,,113
688,35.9145486,139.492984,963334067,,,114
713,35.9096455,139.489076,404058346,traffic_signals,,115
714,35.9110708,139.4911731,404058353,,,116
715,35.9125148,139.4933045,404058356,,,117
719,35.9141584,139.4955038,404058366,,,118
723,35.916308,139.4967809,404058377,,,119
725,35.9172663,139.4969442,404058381,,,120
726,35.9172343,139.4977547,404058385,,,121
729,35.9178033,139.4969731,404058396,traffic_signals,,122
733,35.9211094,139.4808392,404058427,,,123
736,35.9229379,139.4798473,404058452,traffic_signals,,124
739,35.9233034,139.4815557,404058461,,,125
745,35.9224774,139.4773757,404058482,,,126
746,35.915644,139.4852717,243831159,traffic_signals,39.0,127
747,35.9158194,139.4875264,243831160,traffic_signals,,128
748,35.9168653,139.4871871,243831161,,,129
752,35.9196972,139.4900976,243831165,traffic_signals,,130
753,35.9199376,139.4900352,243831166,,,131
754,35.9191574,139.4901964,243831164,,,132
755,35.9191438,139.4893955,243831167,,,133
757,35.9227194,139.4919789,243831171,,,134
759,35.9253954,139.4914547,243831173,traffic_signals,,135
760,35.9248945,139.4890576,243831177,traffic_signals,,136
761,35.9247562,139.4853379,243831181,traffic_signals,,137
762,35.9250012,139.483109,243831182,traffic_signals,,138
763,35.9250901,139.4817064,243831183,,,139
764,35.9238906,139.4829709,243831184,,,140
765,35.9227273,139.4828258,243831185,,,141
767,35.9239995,139.481578,243831193,,,142
769,35.9184136,139.4827445,243831212,traffic_signals,,143
784,35.9174767,139.4774819,2320658970,,,144
813,35.9191856,139.4894306,2292290267,,,145
818,35.92653,139.4883408,430027552,,,146
819,35.9266704,139.4861105,430027553,,,147
820,35.926713,139.48565,430027554,,,148
821,35.9253862,139.4854339,430027557,,,149
822,35.9172851,139.4946082,430027560,,,150
823,35.9166939,139.4913018,430027565,,,151
827,35.916647,139.4907986,430027572,,,152
828,35.9161766,139.491383,430027573,,,153
829,35.9159768,139.4892753,430027574,,,154
831,35.912128,139.4899926,430027576,,,155
836,35.9112274,139.4913923,430027588,traffic_signals,,156
837,35.9095122,139.4880681,430027589,,,157
878,35.9105363,139.4867004,440069203,,,158
885,35.9106925,139.4878534,440069205,,,159
886,35.913137,139.4932572,1346385166,,,160
906,35.9183458,139.4969328,1346385223,,,161
909,35.9187137,139.4968865,1346385231,,,162
914,35.9114292,139.4859759,453711194,,,163
935,35.9263828,139.4893721,601847251,,,164
936,35.9265641,139.4883408,601847259,,,165
937,35.9166146,139.4843048,434197995,,,166
938,35.9174944,139.4843612,434197997,,,167
942,35.9212064,139.4934019,433690128,,,168
944,35.9173338,139.4854563,2291160592,,,169
960,35.9214066,139.4937154,433690147,,,170
969,35.9163418,139.4945812,433690160,,,171
975,35.9170138,139.4925191,433690168,,,172
977,35.9163549,139.4926482,433690170,,,173
978,35.912561,139.4933687,433690171,,,174
979,35.9183247,139.4903339,426784315,,,175
980,35.9221043,139.4890951,433690173,,,176
982,35.9124273,139.4810314,410695225,,,177
983,35.9196285,139.4894409,433690176,,,178
986,35.9194665,139.4971369,433690180,,,179
990,35.9169468,139.4879079,426784328,,,180
991,35.9119719,139.4886427,433690185,,,181
992,35.9118426,139.4876265,433690186,,,182
994,35.9159491,139.4889804,426784334,,,183
995,35.9220175,139.4856777,433690191,,,184
996,35.9161242,139.4909117,426784336,,,185
997,35.9234737,139.4890711,433690193,,,186
998,35.9233798,139.4868457,433690192,,,187
999,35.9228333,139.4869375,433690194,,,188
1000,35.9219638,139.4869561,433690197,,,189
1001,35.9228974,139.4849397,433690198,,,190
1002,35.9233365,139.4861605,433690200,,,191
1003,35.9247699,139.4860732,433690201,,,192
1008,35.9178411,139.4869022,426784367,,,193
1009,35.9140907,139.488176,426784369,,,194
1064,35.9167423,139.4772844,410400735,traffic_signals,,195
1076,35.9272261,139.4888874,2319366209,,,196
1151,35.9183295,139.4784172,416823880,,,197
1153,35.9191559,139.4793333,416823882,,,198
1154,35.929955,139.4840171,416823947,,,199
1155,35.9226629,139.4816496,416823952,,,200
1156,35.9217121,139.4816888,416823953,,,201
1157,35.9211122,139.4817246,416823954,,,202
1158,35.9246594,139.4792779,416823950,,,203
1159,35.9244268,139.479367,416823951,,,204
1161,35.9251825,139.4804069,416823964,,,205
1162,35.9239418,139.4822816,416823965,,,206
1163,35.9236406,139.4823035,416823966,,,207
1166,35.9231529,139.4828754,416823968,,,208
1167,35.9235175,139.4815134,416823973,,,209
1170,35.9217172,139.4796704,416823972,,,210
1171,35.928039,139.4885248,426793646,,,211
1172,35.9274207,139.4900539,426793652,,,212
1174,35.9234321,139.4841037,420797239,,,213
1176,35.9248618,139.4843856,420797241,,,214
1179,35.9240915,139.4842083,420797244,,,215
1180,35.9239457,139.4851579,420797245,,,216
1184,35.9207898,139.4857017,420797252,,,217
1185,35.9204647,139.4834196,420797253,,,218
1186,35.9205969,139.485219,420797254,,,219
1187,35.9197789,139.4841405,420797255,,,220
1192,35.9165472,139.4852685,410450768,,,221
1199,35.9141183,139.4855068,420797272,,,222
1205,35.9131146,139.4856963,420797279,,,223
1206,35.9191752,139.4853694,410450787,traffic_signals,,224
1211,35.9207806,139.4852119,410450793,,,225
1214,35.9211696,139.4851728,410450795,traffic_signals,,226
1215,35.9104078,139.4861589,420797293,,,227
1216,35.9220294,139.4850687,410450798,,,228
1224,35.9279008,139.4905754,2293488503,,,229
1225,35.9233662,139.4850408,410450807,traffic_signals,,230
1226,35.9279619,139.490457,2293488505,,,231
1227,35.9282345,139.4888107,2293488509,,,232
1231,35.9272905,139.4857641,410450824,traffic_signals,,233
1232,35.9277604,139.483429,410450828,,,234
1234,35.9281164,139.4834634,410450837,,,235
1253,35.9272516,139.4803915,426892264,,,236
1254,35.9090078,139.484386,410450925,,,237
1262,35.9095611,139.4842812,410450935,,,238
1265,35.92729,139.483991,426892288,,,239
1272,35.9129621,139.4842864,410450958,,,240
1273,35.9279263,139.4836725,426892304,,,241
1276,35.9189248,139.4866065,434207778,,,242
1277,35.9148631,139.4843463,410450978,,,243
1278,35.9155705,139.4843249,410450981,,,244
1280,35.9165848,139.4826186,410450984,traffic_signals,,245
1281,35.9166082,139.4820215,410450987,,,246
1286,35.9181879,139.4820498,410451023,,,247
1318,35.9202533,139.4808456,420076731,,,248
1325,35.9147317,139.4945726,971807995,,,249
1334,35.9290024,139.4867841,963116357,,,250
1335,35.9220346,139.49203,2292014407,,,251
1346,35.9277431,139.4882407,963116408,,,252
1348,35.913892,139.4931117,963116413,,,253
1353,35.9177396,139.4808223,3837574565,,,254
1355,35.9119086,139.4795495,2291047877,,,255
1375,35.928454,139.4875806,963116571,,,256
1376,35.9136755,139.4912843,963116576,,,257
1377,35.930175,139.4853183,963116580,,,258
1384,35.9219405,139.4827558,1484537399,,,259
1389,35.9123792,139.4863997,430030413,,,260
1393,35.9123074,139.4858324,430030416,,,261
1402,35.9272705,139.4881824,963116671,,,262
1403,35.9260756,139.4860196,430030465,,,263
1404,35.9261416,139.4855512,430030466,,,264
1429,35.9111969,139.4860204,453918514,,,265
1430,35.9112554,139.4865789,453918516,,,266
1434,35.9166422,139.4808128,408469317,traffic_signals,,267
1435,35.9166787,139.4796086,408469321,,,268
1437,35.9172107,139.4781456,408469328,,,269
1444,35.9203405,139.4827566,420437948,,,270
1447,35.917671,139.4834178,420437958,,,271
1448,35.91788,139.4827167,420437959,,,272
1449,35.9301766,139.4857956,601843541,,,273
